sort,size,exectime,type,coresize,title
merge,1000,0,serial,1,serial_1_cores
merge,1000,0,serial,1,serial_1_cores
merge,1000,6,serial,1,serial_1_cores
merge,1000,0,serial,1,serial_1_cores
merge,1000,1,serial,1,serial_1_cores
merge,1000,104,paralel,5,paralel_5_cores
merge,1000,2,paralel,5,paralel_5_cores
merge,1000,14,paralel,5,paralel_5_cores
merge,1000,13,paralel,5,paralel_5_cores
merge,1000,2,paralel,5,paralel_5_cores
merge,1000,16,paralel,20,paralel_20_cores
merge,1000,14,paralel,20,paralel_20_cores
merge,1000,4,paralel,20,paralel_20_cores
merge,1000,8,paralel,20,paralel_20_cores
merge,1000,8,paralel,20,paralel_20_cores
bubble,1000,10,serial,1,serial_1_cores
bubble,1000,4,serial,1,serial_1_cores
bubble,1000,2,serial,1,serial_1_cores
bubble,1000,4,serial,1,serial_1_cores
bubble,1000,2,serial,1,serial_1_cores
bubble,1000,40,paralel,5,paralel_5_cores
bubble,1000,19,paralel,5,paralel_5_cores
bubble,1000,13,paralel,5,paralel_5_cores
bubble,1000,16,paralel,5,paralel_5_cores
bubble,1000,11,paralel,5,paralel_5_cores
bubble,1000,19,paralel,20,paralel_20_cores
bubble,1000,17,paralel,20,paralel_20_cores
bubble,1000,17,paralel,20,paralel_20_cores
bubble,1000,12,paralel,20,paralel_20_cores
bubble,1000,17,paralel,20,paralel_20_cores
insertion,1000,4,serial,1,serial_1_cores
insertion,1000,2,serial,1,serial_1_cores
insertion,1000,2,serial,1,serial_1_cores
insertion,1000,1,serial,1,serial_1_cores
insertion,1000,1,serial,1,serial_1_cores
insertion,1000,9,paralel,5,paralel_5_cores
insertion,1000,3,paralel,5,paralel_5_cores
insertion,1000,3,paralel,5,paralel_5_cores
insertion,1000,2,paralel,5,paralel_5_cores
insertion,1000,1,paralel,5,paralel_5_cores
insertion,1000,9,paralel,20,paralel_20_cores
insertion,1000,7,paralel,20,paralel_20_cores
insertion,1000,5,paralel,20,paralel_20_cores
insertion,1000,8,paralel,20,paralel_20_cores
insertion,1000,8,paralel,20,paralel_20_cores
quick,1000,0,serial,1,serial_1_cores
quick,1000,2,serial,1,serial_1_cores
quick,1000,3,serial,1,serial_1_cores
quick,1000,7,serial,1,serial_1_cores
quick,1000,1,serial,1,serial_1_cores
quick,1000,24,paralel,5,paralel_5_cores
quick,1000,3,paralel,5,paralel_5_cores
quick,1000,1,paralel,5,paralel_5_cores
